sym,tend_estricta,tp,ema_exit,entrada,modo,trades,por_dia,p_tp_5min,wr_neto,gan_media,perd_media,peor,pf,exp_pts,exp_usd,exp_bruto,DEV_exp_usd,DEV_wr,DEV_ptp,DEV_t,VAL1_exp_usd,VAL1_wr,VAL1_ptp,VAL1_t,VAL2_exp_usd,VAL2_wr,VAL2_ptp,VAL2_t
NQ,False,borde,ambas,open sig.,VI usuario,11920,3.10740354535975,0.75251677852349,0.5851510067114094,3.704186379928316,-6.83021435793731,-521.288,0.7649559250354032,-0.6659991610738254,-13.319983221476509,-0.06612835570469798,-13.086403326403332,0.4237006237006237,0.7311850311850312,-14.145030608088938,-6.536623376623375,0.6519480519480519,0.7761038961038961,-1.7576021339043708,-16.055081967213106,0.7101253616200579,0.7635486981677917,-3.759452870883141
NQ,False,borde,ambas,open sig.,NULO (sin VI),27052,7.0521376433785194,0.7133298831879343,0.6501552565429544,1.5927268725764077,-5.438301897952721,-197.288,0.544276671056872,-0.8670415838884629,-17.34083167776926,-0.2573740546854465,-16.8957116747508,0.5713874703301446,0.5984319930950155,-34.35804056183162,-16.205769280142853,0.7183734939759037,0.7979417670682731,-7.780762725345586,-18.509472375435294,0.7399890889252592,0.8508456082924168,-8.56165406360083
NQ,False,relleno,EMA20,cierre,VI usuario,13425,3.4997393117831073,0.6967597765363128,0.5375046554934824,3.54871701773836,-5.605160573361251,-284.038,0.7357972753751016,-0.6849087523277467,-13.698175046554935,-0.07109869646182496,-13.528671848597503,0.39270023656640757,0.6672862453531598,-19.308803332342897,-10.051262135922329,0.6063106796116505,0.7179611650485437,-3.1820737791596745,-15.261560492013949,0.6688085184505232,0.720763723150358,-4.548293006924312
NQ,False,relleno,EMA20,cierre,NULO (sin VI),27410,7.145464025026069,0.6962787303903685,0.6882889456402773,1.4105834668558046,-5.7700791504565565,-203.288,0.5398033918305994,-0.8277084485880777,-16.554168971761555,-0.21377813118566966,-16.5516794972458,0.5813821885831506,0.5822310249699371,-37.095591142228976,-19.158957129597965,0.757500619885941,0.773865608727994,-8.9729402231942,-15.421061077895208,0.8216450216450216,0.8369047619047619,-8.138821983203487
NQ,False,relleno,EMA20,open sig.,VI usuario,13425,3.4997393117831073,0.6967597765363128,0.5330353817504655,3.5622655114589166,-5.56196713989472,-280.538,0.7310884613535885,-0.6984283054003724,-13.968566108007447,-0.08461824953445066,-13.848036498817173,0.3891517404528557,0.6672862453531598,-19.814486027761276,-10.291553398058253,0.6087378640776699,0.7179611650485437,-3.2743606735926,-15.49012667523407,0.6607306774371213,0.720763723150358,-4.6297348109947905
NQ,False,relleno,EMA20,open sig.,NULO (sin VI),27410,7.145464025026069,0.6962787303903685,0.6293688434877782,1.5597544201108529,-4.892441389618223,-200.038,0.5413696541838064,-0.8316303748923461,-16.632607497846923,-0.21770005748993818,-16.595536043896434,0.5497630331753555,0.5822310249699371,-37.28907037802773,-19.34740245565797,0.7009670220679395,0.773865608727994,-9.079326469117005,-15.504394411228542,0.71991341991342,0.8369047619047619,-8.195439339395056
NQ,False,relleno,EMA50,cierre,VI usuario,13419,3.4981751824817517,0.7323943661971831,0.5733661226618973,3.6265438003639203,-6.446034934497816,-524.788,0.7560960395409115,-0.6707595200834636,-13.415190401669273,-0.06585811163275952,-12.985790096332606,0.421835389555518,0.7035659962818996,-16.28998148772836,-8.155631067961163,0.6524271844660194,0.7577669902912622,-2.2524421000843846,-15.873009922822485,0.7081955163542815,0.7541345093715546,-3.800588662248388
NQ,False,relleno,EMA50,cierre,NULO (sin VI),27129,7.072210636079249,0.7094253381989752,0.702126875299495,1.4621041362103624,-6.215749765020782,-524.788,0.5544585171064222,-0.8249221963433208,-16.498443926866415,-0.2142785308930646,-16.75211369481571,0.5908993192404156,0.5917592260838409,-35.184903661549924,-15.863248174132208,0.7850723914128807,0.8005491762356465,-7.534797480017392,-16.389874181417117,0.8351876090750436,0.8487129144851658,-6.941922499934716
NQ,False,relleno,EMA50,open sig.,VI usuario,13419,3.4981751824817517,0.7323943661971831,0.569341977792682,3.6391924083769642,-6.399654265443848,-521.288,0.7517772335966629,-0.68411744541322,-13.682348908264398,-0.07921603696251583,-13.305208720635463,0.4189623119824235,0.7035659962818996,-16.705520246629415,-8.395922330097086,0.6548543689320389,0.7577669902912622,-2.327170787454081,-16.093517089305397,0.7004777655273796,0.7541345093715546,-3.865117490076768
NQ,False,relleno,EMA50,open sig.,NULO (sin VI),27129,7.072210636079249,0.7094253381989752,0.643886615798592,1.609310313482782,-5.238794826675829,-521.288,0.5554302205385915,-0.829391583346159,-16.58783166692318,-0.2187479178959029,-16.802633221866945,0.56022930849158,0.5917592260838409,-35.3634119394364,-16.208979577027865,0.7204193709435847,0.8005491762356465,-7.734776339044679,-16.426414321033175,0.737783595113438,0.8487129144851658,-6.972299420299383
