R,S,rr,K,G,colchon,ev,p_cobra,n_ret,dias,neto_cupo,neto_cupo_año
100,40,3,2,300.0,500,495.0,0.20866666666666667,0.35733333333333334,107.53266666666667,260.80206497104007,611.1828378294542
100,40,3,2,300.0,1000,484.2,0.20866666666666667,0.35333333333333333,107.67266666666667,250.00206497104003,585.1115452331023
100,40,3,2,300.0,1500,477.0,0.20866666666666667,0.3506666666666667,107.70133333333334,242.80206497104004,568.1092190691116
100,40,3,2,300.0,2500,302.4,0.13866666666666666,0.22333333333333333,115.67133333333334,68.20206497104002,148.58409493019374
100,40,3,2,600.0,-1,500.26238634324096,0.20866666666666667,0.35933333333333334,107.23466666666667,266.064451314281,625.2478215800749
100,40,3,2,600.0,0,500.4,0.20866666666666667,0.35933333333333334,107.23466666666667,266.20206497104004,625.5712117912934
100,40,3,2,600.0,500,495.0,0.20866666666666667,0.35733333333333334,107.53266666666667,260.80206497104007,611.1828378294542
100,40,3,2,600.0,1000,484.2,0.20866666666666667,0.35333333333333333,107.67266666666667,250.00206497104003,585.1115452331023
100,40,3,2,600.0,1500,477.0,0.20866666666666667,0.3506666666666667,107.70133333333334,242.80206497104004,568.1092190691116
100,40,3,2,600.0,2500,302.4,0.13866666666666666,0.22333333333333333,115.67133333333334,68.20206497104002,148.58409493019374
100,40,3,2,1000000000.0,-1,500.26238634324096,0.20866666666666667,0.35933333333333334,107.23466666666667,266.064451314281,625.2478215800749
100,40,3,2,1000000000.0,0,500.4,0.20866666666666667,0.35933333333333334,107.23466666666667,266.20206497104004,625.5712117912934
100,40,3,2,1000000000.0,500,495.0,0.20866666666666667,0.35733333333333334,107.53266666666667,260.80206497104007,611.1828378294542
100,40,3,2,1000000000.0,1000,484.2,0.20866666666666667,0.35333333333333333,107.67266666666667,250.00206497104003,585.1115452331023
100,40,3,2,1000000000.0,1500,477.0,0.20866666666666667,0.3506666666666667,107.70133333333334,242.80206497104004,568.1092190691116
100,40,3,2,1000000000.0,2500,302.4,0.13866666666666666,0.22333333333333333,115.67133333333334,68.20206497104002,148.58409493019374
100,60,1,1,300.0,-1,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,300.0,0,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,300.0,500,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,300.0,1000,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,300.0,1500,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,300.0,2500,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,600.0,-1,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,600.0,0,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,600.0,500,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,600.0,1000,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,600.0,1500,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,600.0,2500,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,1000000000.0,-1,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,1000000000.0,0,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,1000000000.0,500,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,1000000000.0,1000,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,1000000000.0,1500,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,1,1000000000.0,2500,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,2,300.0,-1,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,2,300.0,0,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,2,300.0,500,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,2,300.0,1000,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,2,300.0,1500,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,2,300.0,2500,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,2,600.0,-1,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
100,60,1,2,600.0,0,0.0,0.0,0.0,250.0,-234.19793502895996,-236.07151850919163
